Loop Target Address     , CountSeen        , CountLoopInvoked   , MeanTaken   , DiffCount   , Routine Name      , Routine Address      , Routine Invocations Count
0x40a18b, 7480, 7153, 1, 630, fallbackSort, 0x409c33, 1
0x40ec7c, 7228, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x409550, 6821, 723, 9, 662, fallbackSimpleSort, 0x4093f0, 1847
0x417f0c, 6146, 1285, 4, 529, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x4097a7, 6069, 472, 12, 365, fallbackQSort3, 0x4095ec, 1383
0x417fea, 5893, 1221, 4, 593, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x409881, 5860, 796, 7, 576, fallbackQSort3, 0x4095ec, 1383
0x40a098, 4622, 1195, 3, 674, fallbackSort, 0x409c33, 1
0x40a3e3, 4309, 122, 35, 96, fallbackSort, 0x409c33, 1
0x40964d, 3861, 2645, 1, 743, fallbackQSort3, 0x4095ec, 1383
0x40567e, 3458, 0, 0, 0, copy_input_until_stop, 0x40565c, 3
0x40c95d, 2648, 0, 0, 0, bsW, 0x40c94c, 2648
0x7fb2d32402b0, 2235, 897, 2, 698, _dl_addr, 0x7fb2d32401d0, 1
0x409513, 1744, 4656, 0, 1894, fallbackSimpleSort, 0x4093f0, 1847
0x40946e, 1648, 535, 3, 396, fallbackSimpleSort, 0x4093f0, 1847
0x4181dd, 1580, 0, 0, 0, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x417e55, 1580, 0, 0, 0, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x418151, 1560, 0, 0, 0, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x40a08c, 1383, 1383, 1, 0, fallbackSort, 0x409c33, 1
0x40a2cb, 1383, 10249, 0, 1108, fallbackSort, 0x409c33, 1
0x7fb2e6f93600, 1288, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f918e8, 1220, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x405a00, 1089, 0, 0, 0, copy_output_until_stop, 0x4059f2, 1
0x40cd45, 1033, 0, 0, 0, generateMTFValues, 0x40cb2c, 1
0x7fb2d371f780, 1024, 0, 0, 0, omp_test_nest_lock, 0x7fb2d371f320, 0
0x7fb2d3240280, 1011, 103, 9, 96, _dl_addr, 0x7fb2d32401d0, 1
0x7fb2d32402a0, 646, 622, 1, 21, _dl_addr, 0x7fb2d32401d0, 1
0x409ad8, 631, 0, 0, 0, fallbackQSort3, 0x4095ec, 1383
0x409a20, 631, 0, 0, 0, fallbackQSort3, 0x4095ec, 1383
0x7fb2d3136810, 630, 0, 0, 0, getenv, 0x7fb2d3136770, 21
0x409431, 500, 1552, 0, 765, fallbackSimpleSort, 0x4093f0, 1847
0x40cc81, 400, 272, 1, 101, generateMTFValues, 0x40cb2c, 1
0x4053a3, 376, 0, 0, 0, add_pair_to_block, 0x405388, 376
0x7fb2e6f989c0, 332, 300, 1, 43, _dl_debug_state, 0x7fb2e6f98070, 2
0x40a208, 327, 0, 0, 0, fallbackSort, 0x409c33, 1
0x40a22e, 327, 0, 0, 0, fallbackSort, 0x409c33, 1
0x7fb2e6f915e0, 291, 9, 32, 8, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f90ef0, 288, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f910d0, 261, 120, 2, 86, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f934b8, 218, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x40a112, 195, 0, 0, 0, fallbackSort, 0x409c33, 1
0x40a139, 195, 0, 0, 0, fallbackSort, 0x409c33, 1
0x7fb2e6f9efb8, 173, 207, 0, 68, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f98ae5, 168, 26, 6, 22, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f91ad0, 158, 13, 12, 10, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f91a20, 158, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f90fb4, 151, 86, 1, 33, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x40d405, 148, 4, 37, 0, sendMTFValues, 0x40ceee, 1
0x40d452, 148, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x40ec59, 148, 7228, 0, 295, sendMTFValues, 0x40ceee, 1
0x40ed01, 148, 448, 0, 285, sendMTFValues, 0x40ceee, 1
0x41034b, 148, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6f90d89, 141, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f91158, 141, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f95189, 127, 5, 25, 4, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f8dbd1, 112, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f93670, 108, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x40d0a4, 81, 5, 16, 4, sendMTFValues, 0x40ceee, 1
0x7fb2d31a3e5c, 75, 0, 0, 0, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6fa1398, 61, 60, 1, 2, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6fa1390, 60, 59, 1, 0, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6f98ed8, 58, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f8fa40, 47, 4, 11, 3, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31a7840, 40, 10, 4, 9, strerror_l, 0x7fb2d319c370, 0
0x410bba, 37, 1, 37, 0, sendMTFValues, 0x40ceee, 1
0x41057a, 37, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x4182c2, 32, 2133, 0, 63, BZ2_hbAssignCodes, 0x418294, 5
0x7fb2e6f8d5f0, 32, 4, 8, 3, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f9f140, 31, 0, 0, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6fa0c90, 30, 1, 30, 0, __get_cpu_features, 0x7fb2e6fa0010, 0
0x7fb2d31824d0, 30, 1, 30, 0, mallopt, 0x7fb2d3182270, 0
0x7fb2e6fa05c0, 30, 0, 0, 0, __get_cpu_features, 0x7fb2e6fa0010, 0
0x7fb2e6f97ce0, 29, 10, 2, 8, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f8dbc8, 29, 4, 7, 2, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f898dd, 26, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f98aef, 26, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f99120, 26, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f98f20, 26, 13, 2, 6, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6fa01ef, 25, 0, 0, 0, __get_cpu_features, 0x7fb2e6fa0010, 0
0x7fb2e6fa01e5, 25, 1, 25, 0, __get_cpu_features, 0x7fb2e6fa0010, 0
0x7fb2e6f8c898, 24, 1, 24, 0, .text, 0x7fb2e6f87ac0, 1
0x40d289, 20, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6fa4ab5, 20, 0, 0, 0, realloc, 0x7fb2e6fa1040, 0
0x417d82, 20, 878, 0, 39, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x417e1b, 20, 1580, 0, 39, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x7fb2e6f938b0, 20, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x417ed7, 20, 20, 1, 0, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x4181ce, 20, 1580, 0, 39, BZ2_hbMakeCodeLengths, 0x417d54, 20
0x7fb2d318c470, 18, 1, 18, 0, bzero, 0x7fb2d318c200, 0
0x7fb2e6f9f14d, 18, 0, 0, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f88a48, 18, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8d3e0, 18, 4, 4, 3, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31c5480, 18, 16, 1, 1, readdir, 0x7fb2d31c5420, 18
0x7fb2d318c11d, 17, 0, 0, 0, memchr, 0x7fb2d318b860, 0
0x7fb2e6f95a00, 17, 6, 2, 4, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f937cb, 17, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f97cbc, 16, 5, 3, 4, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x4107aa, 16, 179, 0, 31, sendMTFValues, 0x40ceee, 1
0x7fb2d3191540, 14, 0, 0, 0, memccpy, 0x7fb2d31913a0, 0
0x7fb2e6fa4ea9, 13, 16, 0, 8, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6f959dd, 11, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89ba1, 11, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f95172, 11, 3, 3, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f88d30, 10, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31a7830, 10, 0, 0, 0, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6f9168a, 9, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d317cee8, 9, 9, 1, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2d317cef2, 9, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2e6f8edb0, 9, 2, 4, 1, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8cdd8, 8, 8, 1, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f8d00a, 8, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31a77f0, 8, 0, 0, 0, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6f93539, 8, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d317f174, 8, 19, 0, 2, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2e6f934dc, 8, 1, 8, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x410878, 8, 51, 0, 15, sendMTFValues, 0x40ceee, 1
0x7fb2e6f9930b, 7, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f96b0d, 7, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89705, 7, 1, 7, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f97b99, 7, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x409fde, 7, 14481, 0, 11, fallbackSort, 0x409c33, 1
0x409fa5, 7, 6, 1, 0, fallbackSort, 0x409c33, 1
0x7fb2e6f97c50, 7, 1, 7, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d319c7f0, 7, 4, 1, 2, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6f8c8f0, 7, 1, 7, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f93560, 7, 6, 1, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f97d90, 7, 1, 7, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6fa4c10, 6, 0, 0, 0, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6f932d2, 6, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d317d430, 6, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2d317d06b, 6, 0, 0, 0, _IO_str_seekoff, 0x7fb2d317a0d0, 0
0x7fb2e6f9347f, 6, 1, 6, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f95bf0, 6, 5, 1, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f99198, 6, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x40cf87, 6, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6f98ea8, 6, 6, 1, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f92c78, 6, 5, 1, 1, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f980a0, 6, 5, 1, 1, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f99118, 6, 6, 1, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6fa4c76, 6, 9, 0, 3, realloc, 0x7fb2e6fa1040, 0
0x7fb2e6f99090, 6, 0, 0, 0, _dl_debug_state, 0x7fb2e6f98070, 2
0x7fb2e6f88d78, 6, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f977b0, 6, 1, 6, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f95434, 5, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f8ff40, 5, 3, 1, 2, .text, 0x7fb2e6f87ac0, 1
0x41060f, 5, 372, 0, 9, sendMTFValues, 0x40ceee, 1
0x7fb2d371434d, 5, 0, 0, 0, .text, 0x7fb2d37141b0, 0
0x4182b9, 5, 32, 0, 9, BZ2_hbAssignCodes, 0x418294, 5
0x7fb2e6f92b38, 5, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x410a98, 5, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6f950ff, 5, 5, 1, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f91085, 5, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x40d1a1, 5, 22, 0, 6, sendMTFValues, 0x40ceee, 1
0x7fb2e6f87b3d, 5, 1, 5, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2d31324c0, 5, 0, 0, 0, killpg, 0x7fb2d3132470, 0
0x7fb2d31a786c, 4, 0, 0, 0, strerror_l, 0x7fb2d319c370, 0
0x7fb2e6f959b0, 4, 1, 4, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f9bc30, 4, 3, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f9efb0, 4, 4, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x40d280, 4, 20, 0, 7, sendMTFValues, 0x40ceee, 1
0x40d25b, 4, 0, 0, 0, sendMTFValues, 0x40ceee, 1
0x7fb2e6f9f520, 4, 4, 1, 0, _dl_find_dso_for_object, 0x7fb2e6f9bc00, 1
0x7fb2e6f88a5f, 4, 0, 0, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f92ea0, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89ad0, 4, 1, 4, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f93727, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2e6f89b98, 4, 1, 4, 0, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f92d00, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d316a340, 4, 0, 0, 0, _IO_fclose, 0x7fb2d316a260, 4
0x7fb2d3177dfc, 4, 0, 0, 0, _IO_link_in, 0x7fb2d3177cb0, 7
0x7fb2d3177ce9, 4, 0, 0, 0, _IO_link_in, 0x7fb2d3177cb0, 7
0x7fb2e6f967a9, 4, 0, 0, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d3177b4d, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
0x7fb2d316a280, 4, 0, 0, 0, _IO_fclose, 0x7fb2d316a260, 4
0x7fb2e6f8d97d, 4, 2, 2, 1, .text, 0x7fb2e6f87ac0, 1
0x7fb2e6f967a0, 4, 1, 4, 0, _dl_rtld_di_serinfo, 0x7fb2e6f90650, 0
0x7fb2d3177b25, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
0x7fb2d3177a04, 4, 0, 0, 0, _IO_un_link, 0x7fb2d31779d0, 8
