Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x7fee99c3e000, libc.so.6, 0x7fee99d811d0, _dl_addr, 56470
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c0350, _ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE, 12270
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb34ac0, .text, 9043
0x7fee99c3e000, libc.so.6, 0x7fee99ceaa90, btowc, 6400
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0e5410, _ZNSt5ctypeIwE19_M_initialize_ctypeEv, 2757
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0acf70, __dynamic_cast, 2496
0x7fee99c3e000, libc.so.6, 0x7fee99cc9720, strlen, 1428
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0af2a0, _ZNK10__cxxabiv120__si_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE, 1360
0x7fee99c3e000, libc.so.6, 0x7fee99cac6e0, fwrite, 1259
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d5040, _ZNKSt5ctypeIcE13_M_widen_initEv, 1098
0x7fee99c3e000, libc.so.6, 0x7fee99d49460, wctype_l, 1026
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c0b20, _ZNSt6locale5_ImplC1Em, 1025
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c0310, _ZNKSt6locale2id5_M_idEv, 1004
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb4dd40, __libc_memalign, 996
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb4e040, realloc, 996
0x7fee99c3e000, libc.so.6, 0x7fee99cb71e0, _IO_file_xsputn, 951
0x7fee9a021000, libstdc++.so.6, 0x7fee9a123c30, _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE13_M_insert_intIlEES3_S3_RSt8ios_basecT_, 930
0x7fee99c3e000, libc.so.6, 0x7fee99ceac10, wctob, 768
0x7fee9a021000, libstdc++.so.6, 0x7fee9a12f5c0, _ZNSo6sentryC2ERSo, 690
0x7fee99c3e000, libc.so.6, 0x7fee99cab7a0, _IO_fflush, 640
0x7fee9a021000, libstdc++.so.6, 0x7fee9a130330, _ZNSo9_M_insertIlEERSoT_, 577
0x7fee9a021000, libstdc++.so.6, 0x7fee9a12fd20, _ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l, 560
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0afd50, _ZNK10__cxxabiv121__vmi_class_type_info12__do_dyncastElNS_17__class_type_info10__sub_kindEPKS1_PKvS4_S6_RNS1_16__dyncast_resultE, 528
0x7fee99c3e000, libc.so.6, 0x7fee99cb8390, _IO_do_write, 524
0x7fee99c3e000, libc.so.6, 0x7fee99d81530, _dl_mcount_wrapper_check, 512
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d83f0, _ZNSt8ios_baseC2Ev, 472
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c1dd0, _ZNSt6localeC1Ev, 440
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cf680, _ZNSt7__cxx118numpunctIcE22_M_initialize_numpunctEP15__locale_struct, 413
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cbf40, _ZNSt8numpunctIcE22_M_initialize_numpunctEP15__locale_struct, 413
0x7fee9a021000, libstdc++.so.6, 0x7fee9a12f830, _ZNSo3putEc, 410
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aad20, .text, 382
0x7fee99c3e000, libc.so.6, 0x7fee99cb4450, putc, 380
0x7fee99c3e000, libc.so.6, 0x7fee99cb6b70, _IO_file_write, 370
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cf940, _ZNSt7__cxx118numpunctIwE22_M_initialize_numpunctEP15__locale_struct, 349
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cc200, _ZNSt8numpunctIwE22_M_initialize_numpunctEP15__locale_struct, 349
0x7fee99c3e000, libc.so.6, 0x7fee99cb6370, _IO_file_sync, 321
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d9e80, _ZNSt6thread15_M_start_threadESt10shared_ptrINS_10_Impl_baseEE, 299
0x7fee99c3e000, libc.so.6, 0x7fee99c782d0, __cxa_finalize, 289
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0be7e0, _ZNSt8ios_base4InitC2Ev, 269
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa3d0, btowc@plt, 258
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0bf3c0, _ZNSt8ios_base7_M_initEv, 192
0x7fee9a021000, libstdc++.so.6, 0x7fee9a12fb30, _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_, 190
0x7fee9a021000, libstdc++.so.6, 0x7fee9a12ee20, _ZNSo5flushEv, 182
0x7fee9a021000, libstdc++.so.6, 0x7fee9a130210, _ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc, 180
0x400000, loop_test_simple, 0x400896, _Z7forLoopi, 172
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c0060, _ZNSt6localeaSERKS_, 168
0x7fee99706000, libgcc_s.so.1, 0x7fee99708a70, .text, 167
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7a20, .plt, 162
0x7fee99c3e000, libc.so.6, 0x7fee99c78280, __cxa_atexit, 154
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb4de50, calloc, 144
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb47620, _dl_allocate_tls_init, 139
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0e4e70, _ZNKSt5ctypeIwE19_M_convert_to_wmaskEt, 137
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9080, wctob@plt, 130
0x7fee99c3e000, libc.so.6, 0x7fee99cb9630, _IO_default_xsputn, 128
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0bfe90, _ZNSt6locale5facet15_S_get_c_localeEv, 128
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115d40, _ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale, 120
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115400, _ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale, 120
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8a00, _ZNKSt6locale2id5_M_idEv@plt, 120
0x7fee99c3e000, libc.so.6, 0x7fee99c5d8b0, .text, 118
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0e4c20, _ZNSt5ctypeIcEC1EPKtbm, 114
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ca3c0, _ZNSt10moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 112
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ca920, _ZNSt10moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 112
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cdbe0, _ZNSt7__cxx1110moneypunctIcLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 112
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ce140, _ZNSt7__cxx1110moneypunctIcLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 112
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cee90, _ZNSt7__cxx1110moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0ce880, _ZNSt7__cxx1110moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cb060, _ZNSt10moneypunctIwLb1EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cb670, _ZNSt10moneypunctIwLb0EE24_M_initialize_moneypunctEP15__locale_structPKc, 108
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0cfc30, _ZNSt11__timepunctIcE23_M_initialize_timepunctEP15__locale_struct, 107
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d05c0, _ZNSt11__timepunctIwE23_M_initialize_timepunctEP15__locale_struct, 105
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb4de40, malloc, 105
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1305a0, _ZNSolsEi, 100
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ade0, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE6xsputnEPKcl, 100
0x7fee99c3e000, libc.so.6, 0x7fee99c5e5a0, _init, 98
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0c00d0, _ZNSt6localeD1Ev, 96
0x7fee99706000, libgcc_s.so.1, 0x7fee99708ca0, __cpu_indicator_init, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115590, _ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a115ed0, _ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E, 88
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1478a0, _ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1478f0, _ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1221c0, _ZSt9has_facetISt5ctypeIcEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a122300, _ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a122350, _ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a147760, _ZSt9has_facetISt5ctypeIwEEbRKSt6locale, 84
0x7fee9a021000, libstdc++.so.6, 0x7fee9a120550, _ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1211c0, _ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a121210, _ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a145d60, _ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a146770, _ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1467c0, _ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale, 76
0x7fee99c3e000, libc.so.6, 0x7fee99d352b0, write, 70
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ae90, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE8overflowEi, 60
0x7fee99c3e000, libc.so.6, 0x7fee99c5e740, __libc_start_main, 58
0x7fee99c3e000, libc.so.6, 0x7fee99cc2130, __libc_malloc, 58
0x7fee99c3e000, libc.so.6, 0x7fee99ccb400, rindex, 54
0x7fee9a021000, libstdc++.so.6, 0x7fee9a123ed0, _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecl, 50
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9e00, __dynamic_cast@plt, 50
0x7fee99c3e000, libc.so.6, 0x7fee99d3ae80, __sbrk, 49
0x7fee99c3e000, libc.so.6, 0x7fee99cb8730, _IO_file_overflow, 48
0x7fee9a021000, libstdc++.so.6, 0x7fee9a131750, _ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv, 42
0x7fee99c3e000, libc.so.6, 0x7fee99c6b8b0, uselocale, 42
0x400000, loop_test_simple, 0x400960, __libc_csu_init, 41
0x7fee99935000, libm.so.6, 0x7fee9993a600, .text, 38
0x7fee99c3e000, libc.so.6, 0x7fee99c6ab80, __newlocale, 37
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb34a70, __libc_memalign@plt, 36
0x7fee99c3e000, libc.so.6, 0x7fee99cab180, _IO_file_doallocate, 36
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb34a80, malloc@plt, 35
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb48c00, _dl_find_dso_for_object, 35
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aea90, __cxa_guard_acquire, 33
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aaa80, _ZNSo6sentryC1ERSo@plt, 32
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a90f0, _ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE@plt, 32
0x7fee99c3e000, libc.so.6, 0x7fee99c731b0, __sigsetjmp, 28
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ab90, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv, 26
0x7fee99c3e000, libc.so.6, 0x7fee99d3ae10, brk, 24
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8aa0, _ZNSt6localeC1Ev@plt, 24
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0bf0b0, _ZNSt8ios_base4InitD2Ev, 23
0x7fee9a021000, libstdc++.so.6, 0x7fee9a11f7c0, _ZNSt11__timepunctIcEC1EPSt17__timepunct_cacheIcEm, 22
0x7fee9a021000, libstdc++.so.6, 0x7fee9a144fe0, _ZNSt11__timepunctIwEC1EPSt17__timepunct_cacheIwEm, 22
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa560, fwrite@plt, 22
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0d5120, _ZNSt5ctypeIwEC1Em, 19
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0fc380, _ZNSt7__cxx118messagesIcEC2Em, 19
0x7fee9a021000, libstdc++.so.6, 0x7fee9a104620, _ZNSt7__cxx118messagesIwEC2Em, 19
0x7fee9a021000, libstdc++.so.6, 0x7fee9a11ff90, _ZNSt8messagesIcEC1Em, 19
